RF	Frequency
0	0.051196
2	0.170428
4	0.342540
6	0.435837
0	0.045470
2	0.173459
4	0.344897
6	0.436174
0	0.050522
2	0.177164
4	0.340519
6	0.431795
0	0.053890
2	0.174806
4	0.343550
6	0.427753
0	0.054901
2	0.165376
4	0.336477
6	0.443247
0	0.050185
2	0.178511
4	0.334456
6	0.436847
0	0.058269
2	0.161671
4	0.356012
6	0.424049
0	0.056922
2	0.155271
4	0.357023
6	0.430785
0	0.050185
2	0.166723
4	0.334119
6	0.448973
0	0.054901
2	0.167733
4	0.337151
6	0.440216
0	0.046480
2	0.165039
4	0.356012
6	0.432469
0	0.053890
2	0.162007
4	0.356012
6	0.428090
0	0.051533
2	0.170091
4	0.347929
6	0.430448
0	0.046480
2	0.160997
4	0.348602
6	0.443921
0	0.055911
2	0.163355
4	0.356686
6	0.424049
0	0.054227
2	0.168744
4	0.340182
6	0.436847
0	0.055237
2	0.173122
4	0.346581
6	0.425059
0	0.049848
2	0.170428
4	0.332772
6	0.446952
0	0.055574
2	0.179522
4	0.351970
6	0.412934
0	0.044123
2	0.172785
4	0.337487
6	0.445605
0	0.052543
2	0.174806
4	0.338835
6	0.433816
0	0.054901
2	0.156282
4	0.358370
6	0.430448
0	0.054564
2	0.164702
4	0.345908
6	0.434827
0	0.053217
2	0.157292
4	0.344897
6	0.444594
0	0.052206
2	0.162344
4	0.352307
6	0.433142
0	0.048164
2	0.171101
4	0.362412
6	0.418323
0	0.051196
2	0.170091
4	0.341866
6	0.436847
0	0.057932
2	0.166723
4	0.352307
6	0.423038
0	0.052880
2	0.169417
4	0.347255
6	0.430448
0	0.057932
2	0.161671
4	0.339845
6	0.440552
0	0.048501
2	0.173796
4	0.349276
6	0.428427
0	0.050185
2	0.168407
4	0.355002
6	0.426406
0	0.053890
2	0.174470
4	0.341192
6	0.430448
0	0.057595
2	0.170091
4	0.357359
6	0.414955
0	0.053217
2	0.164028
4	0.345908
6	0.436847
0	0.051533
2	0.165039
4	0.350960
6	0.432469
0	0.047828
2	0.179522
4	0.335803
6	0.436847
0	0.055911
2	0.177838
4	0.350623
6	0.415628
0	0.046480
2	0.160323
4	0.341866
6	0.451330
0	0.050859
2	0.147188
4	0.353654
6	0.448299
0	0.049512
2	0.163018
4	0.350286
6	0.437184
